"出演履歴","統合キー","タイトル","リリース日","鑑賞日","推奨操作","推奨代表タイトル"
"diversEnsemble Concert #2 (https://www.notion.so/diversEnsemble-Concert-2-31f4532d7d56814ca2ede2144de90b50?pvs=21)","suite pastorale","Suite pastorale: I. Idylle","1888年11月4日","2019年1月19日","ARCHIVE","Suite pastorale: II. Danse villageoise"
"diversEnsemble Concert #2 (https://www.notion.so/diversEnsemble-Concert-2-31f4532d7d56814ca2ede2144de90b50?pvs=21)","suite pastorale","Suite pastorale: II. Danse villageoise","1888年11月4日","2019年1月19日","KEEP","Suite pastorale: II. Danse villageoise"
"diversEnsemble Concert #3 (https://www.notion.so/diversEnsemble-Concert-3-31f4532d7d56812cb2fdd6449bb2755f?pvs=21)","string quartet in f major","String Quartet in F major: I. Moderato très doux((arr. for wind quintet by Richard S. Bobo)","2011年1月1日","2022年8月6日","KEEP","String Quartet in F major: I. Moderato très doux((arr. for wind quintet by Richard S. Bobo)"
"diversEnsemble Concert #3 (https://www.notion.so/diversEnsemble-Concert-3-31f4532d7d56812cb2fdd6449bb2755f?pvs=21)","string quartet in f major","String Quartet in F major: IV. Vif et agité((arr. for wind quintet by Richard S. Bobo)","2011年1月1日","2022年8月6日","ARCHIVE","String Quartet in F major: I. Moderato très doux((arr. for wind quintet by Richard S. Bobo)"
"オーケストラ・ポミエ 第4回演奏会 (https://www.notion.so/4-31f4532d7d5680cd83ece54c2b1c973a?pvs=21)","gayaneh: act i, scene i (spring). lezghinka","Gayaneh: Act I, Scene I (Spring). Lezghinka","1942年12月9日","2015年9月26日","KEEP","Gayaneh: Act I, Scene I (Spring). Lezghinka"
"オーケストラ・ポミエ 第4回演奏会 (https://www.notion.so/4-31f4532d7d5680cd83ece54c2b1c973a?pvs=21)","gayaneh: act i, scene i (spring). lezghinka","Gayaneh: Act I, Scene I (Spring). Lezghinka","1942年12月9日","2015年9月26日","ARCHIVE","Gayaneh: Act I, Scene I (Spring). Lezghinka"
"オーケストラ・ポミエ 第4回演奏会 (https://www.notion.so/4-31f4532d7d5680cd83ece54c2b1c973a?pvs=21)","gayaneh: act i, scene i (spring). lezghinka","Gayaneh: Act I, Scene I (Spring). Lezghinka","1942年12月9日","2015年9月26日","ARCHIVE","Gayaneh: Act I, Scene I (Spring). Lezghinka"
"喜歌劇「メリー・ウィドウ」 A公演 (https://www.notion.so/A-31f4532d7d56819389b2cc2cbe5037db?pvs=21)","die lustige witwe","Die lustige Witwe","1905年12月30日","2016年7月23日","KEEP","Die lustige Witwe"
"喜歌劇「メリー・ウィドウ」 A公演 (https://www.notion.so/A-31f4532d7d56819389b2cc2cbe5037db?pvs=21)","die lustige witwe","Die lustige Witwe","1905年12月30日","2016年7月23日","ARCHIVE","Die lustige Witwe"
"初演企画 第4回演奏会 (https://www.notion.so/4-31f4532d7d5681fd9c29dd2c31add7a7?pvs=21)","capriccio espagnol, op. 34","Capriccio Espagnol, op. 34: IV. Scena e canto gitano","1887年10月31日","2016年10月1日","KEEP","Capriccio Espagnol, op. 34: IV. Scena e canto gitano"
"初演企画 第4回演奏会 (https://www.notion.so/4-31f4532d7d5681fd9c29dd2c31add7a7?pvs=21)","capriccio espagnol, op. 34","Capriccio Espagnol, op. 34: V. Fandango asturiano","1887年10月31日","2016年10月1日","ARCHIVE","Capriccio Espagnol, op. 34: IV. Scena e canto gitano"
